hour_index,hour_of_day,solar_kwh_per_mw,wind_kwh_per_wtg
178,10,821.2603305785124,244.1870462605463
179,11,995.2272727272727,221.7585464651812
180,12,1018.904958677686,0.0
181,13,1009.2561983471074,86.50657644607416
182,14,900.9917355371902,201.08105306199107
183,15,663.6363636363636,87.87998545194611
184,16,350.74380165289256,586.9446273798671
185,17,94.2107438016529,946.1892383643395
186,18,0.0,1193.2257127165556
187,19,0.0,1243.5225032760902
188,20,0.0,957.8470353287348
189,21,0.0,681.3185687124799
190,22,0.0,642.8691541102485
191,23,0.0,703.2751808750459
192,0,0.0,673.2630283084476
193,1,0.0,774.8956611993344
194,2,0.0,815.3973197661335
195,3,0.0,697.6220413095967
196,4,0.0,286.986401014355
197,5,0.0,0.0
198,6,0.0,115.72393087371039
199,7,153.70454545454547,146.51195359600874
200,8,521.1570247933885,0.0
201,9,699.4421487603306,139.02487079456006
202,10,858.5123966942149,250.91404545674482
203,11,947.2727272727273,216.61511083084105
204,12,871.797520661157,377.8044124656613
205,13,893.202479338843,592.761811948266
206,14,813.7809917355372,636.9975570918124
207,15,658.801652892562,455.7214647317067
208,16,433.8429752066116,535.5699867870389
209,17,116.77272727272728,658.745342634335
210,18,0.0,1263.9721381092818
211,19,0.0,965.8955894307968
212,20,0.0,2059.9775252696822
213,21,0.0,1585.9679794309127
214,22,0.0,991.6353062425894
215,23,0.0,1599.3315406394065
216,0,0.0,1772.3667426638822
217,1,0.0,1603.5317156957367
218,2,0.0,896.0993389257379
219,3,0.0,489.68684078360076
220,4,0.0,348.89449424353666
221,5,0.0,177.42423120454126
222,6,0.0,445.16094558338455
223,7,136.46280991735537,246.98521357678453
224,8,441.11570247933884,274.05860508301714
225,9,780.9710743801653,49.36833292012891
226,10,970.0206611570248,429.1780044986863
227,11,896.5289256198347,514.45852951325
228,12,1017.3347107438017,473.83805625106515
229,13,848.2851239669421,413.01515227435976
230,14,759.4214876033058,922.8467103674548
231,15,575.4132231404959,712.8176383824415
232,16,324.400826446281,555.0301771987115
233,17,102.85537190082644,568.8600629975954
234,18,0.0,722.36814663888
235,19,0.0,513.6256406458753
236,20,0.0,862.5162023904704
237,21,0.0,1562.6844854808417
238,22,0.0,1790.6654199803456
239,23,0.0,1250.2611162163519
240,0,0.0,700.7904376662941
241,1,0.0,491.14695136666717
242,2,0.0,735.6609776725097
243,3,0.0,543.6628521830582
244,4,0.0,251.2396329678598
245,5,0.0,123.75969822162617
246,6,0.0,348.66477076786197
247,7,146.52892561983472,0.0
248,8,504.85537190082647,5.976655486501306
249,9,810.5371900826447,50.19464625638814
250,10,1009.6694214876034,0.0
251,11,1089.9586776859505,426.42738957935325
252,12,1081.9421487603306,527.2136254767447
253,13,1076.6735537190084,442.94699364323856
254,14,959.1735537190083,625.6473917263628
255,15,745.3099173553719,294.19817586635344
256,16,447.8305785123967,830.3867357990669
