hour_index,hour_of_day,solar_kwh_per_mw,dc_ac_ratio,wind_kwh_per_wtg,location_name,latitude,longitude
140,20,0.0,1.4,1077.396053661412,Jodhpur,26.2389,73.0243
141,21,0.0,1.4,1206.772815505654,Jodhpur,26.2389,73.0243
142,22,0.0,1.4,1686.2252721133746,Jodhpur,26.2389,73.0243
143,23,0.0,1.4,1227.939721898811,Jodhpur,26.2389,73.0243
144,0,0.0,1.4,798.7412166271176,Jodhpur,26.2389,73.0243
145,1,0.0,1.4,609.7217016172291,Jodhpur,26.2389,73.0243
146,2,0.0,1.4,651.0932369135277,Jodhpur,26.2389,73.0243
147,3,0.0,1.4,623.0418630513773,Jodhpur,26.2389,73.0243
148,4,0.0,1.4,848.1078529067418,Jodhpur,26.2389,73.0243
149,5,0.0,1.4,396.742232745481,Jodhpur,26.2389,73.0243
150,6,0.0,1.4,267.475862196182,Jodhpur,26.2389,73.0243
151,7,116.74,1.4,0.0,Jodhpur,26.2389,73.0243
152,8,372.48,1.4,464.2227051523221,Jodhpur,26.2389,73.0243
153,9,707.91,1.4,480.2324064444269,Jodhpur,26.2389,73.0243
154,10,817.25,1.4,326.57866861388106,Jodhpur,26.2389,73.0243
155,11,849.48,1.4,91.3448705362216,Jodhpur,26.2389,73.0243
156,12,931.92,1.4,0.0,Jodhpur,26.2389,73.0243
157,13,903.7,1.4,0.0,Jodhpur,26.2389,73.0243
158,14,775.79,1.4,0.0,Jodhpur,26.2389,73.0243
159,15,662.5,1.4,0.0,Jodhpur,26.2389,73.0243
160,16,411.69,1.4,509.4625194987474,Jodhpur,26.2389,73.0243
161,17,105.47,1.4,1366.5700792616672,Jodhpur,26.2389,73.0243
162,18,0.0,1.4,1152.1495471944374,Jodhpur,26.2389,73.0243
163,19,0.0,1.4,630.0086450628372,Jodhpur,26.2389,73.0243
164,20,0.0,1.4,804.3111713474622,Jodhpur,26.2389,73.0243
165,21,0.0,1.4,1417.3017274256636,Jodhpur,26.2389,73.0243
166,22,0.0,1.4,1065.3439736307243,Jodhpur,26.2389,73.0243
167,23,0.0,1.4,181.5816679564984,Jodhpur,26.2389,73.0243
168,0,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
169,1,0.0,1.4,336.2409348201806,Jodhpur,26.2389,73.0243
170,2,0.0,1.4,784.2342800399066,Jodhpur,26.2389,73.0243
171,3,0.0,1.4,1799.740898971333,Jodhpur,26.2389,73.0243
172,4,0.0,1.4,1535.041094307661,Jodhpur,26.2389,73.0243
173,5,0.0,1.4,665.1723028477269,Jodhpur,26.2389,73.0243
174,6,0.0,1.4,481.6489097694017,Jodhpur,26.2389,73.0243
