hour_index,hour_of_day,solar_kwh_per_mw,wind_kwh_per_wtg
229,13,819.21,413.01515227435976
230,14,733.39,922.8467103674548
231,15,555.56,712.8176383824415
232,16,313.24,555.0301771987115
233,17,99.26,568.8600629975954
234,18,0.0,722.36814663888
235,19,0.0,513.6256406458753
236,20,0.0,862.5162023904704
237,21,0.0,1562.6844854808417
238,22,0.0,1790.6654199803456
239,23,0.0,1250.261116216352
240,0,0.0,700.7904376662941
241,1,0.0,491.1469513666672
242,2,0.0,735.6609776725097
243,3,0.0,543.6628521830582
244,4,0.0,251.2396329678598
245,5,0.0,123.75969822162617
246,6,0.0,348.664770767862
247,7,141.41,0.0
248,8,487.46,5.976655486501306
249,9,782.79,50.19464625638814
250,10,975.0,0.0
251,11,1088.51,426.4273895793533
252,12,1081.36,527.2136254767447
253,13,1061.49,442.94699364323856
254,14,926.26,625.6473917263628
255,15,719.65,294.19817586635344
256,16,432.4,830.3867357990669
257,17,110.9,1074.0682839084693
258,18,0.0,1434.120863778362
259,19,0.0,2503.4433954441483
260,20,0.0,2543.9128433709
261,21,0.0,1537.9515970610269
262,22,0.0,1174.8960554738896
263,23,0.0,1075.4802796952736
264,0,0.0,1329.6227848307851
265,1,0.0,604.9360157228436
266,2,0.0,0.0
267,3,0.0,0.0
268,4,0.0,0.0
269,5,0.0,0.0
270,6,0.0,305.4273962433926
271,7,137.43,453.802382266624
272,8,475.37,261.6010274221159
273,9,766.9,262.0809391253355
274,10,964.3,196.53370209304143
275,11,1082.69,516.8370467394501
276,12,1100.87,482.2777705717154
277,13,1079.9,518.5221563838008
278,14,959.03,444.9623851871542
279,15,762.46,430.969186648568
280,16,470.74,636.2575634387545
281,17,125.28,708.3779620852283
282,18,0.0,633.6136366816348
283,19,0.0,973.4229863790628
284,20,0.0,1902.491711330081
285,21,0.0,2262.789258011369
286,22,0.0,1986.7053389851208
287,23,0.0,1420.7566839655478
288,0,0.0,1494.511904900953
289,1,0.0,1942.50944580873
290,2,0.0,1217.849407431814
291,3,0.0,1145.7429151423637
292,4,0.0,1178.831547766951
293,5,0.0,496.4575673916135
294,6,0.0,726.2668727921535
295,7,137.36,585.8325425284719
296,8,483.7,402.91108327868153
297,9,782.17,399.832457190278
298,10,985.79,252.289894107762
299,11,1095.97,467.2116754307182
300,12,1087.19,1136.4489008607593
301,13,1081.32,985.6304359142606
302,14,965.68,1083.554113291218
303,15,747.62,1174.320243863973
304,16,456.45,749.2696379863934
305,17,120.33,819.3461226935626
306,18,0.0,854.0064742209736
307,19,0.0,547.8642263785339
308,20,0.0,561.2442155235436
309,21,0.0,682.6839771291162
310,22,0.0,1329.292275813207
311,23,0.0,1729.346127403136
312,0,0.0,2088.302057653591
313,1,0.0,2311.232170858132
314,2,0.0,1185.501978490704
315,3,0.0,869.4660654088916
316,4,0.0,1063.3724819104714
317,5,0.0,1631.602580589985
318,6,0.0,1612.1737928657626
319,7,132.27,1004.0520764519514
320,8,461.26,75.06125527768691
321,9,699.34,382.3766645816573
322,10,856.28,393.9420854657608
323,11,963.35,702.6572753943805
324,12,1016.36,919.5651910046976
325,13,952.62,808.1631489097515
326,14,822.11,147.4171338372798
327,15,698.06,291.07434450032963
328,16,435.83,236.53743004493208
329,17,123.65,833.6886905871927
330,18,0.0,1630.9334198294848
331,19,0.0,1353.5532241422568
332,20,0.0,1704.0348284558827
333,21,0.0,2109.177856956936
334,22,0.0,1744.705097617284
335,23,0.0,768.328567073358
336,0,0.0,327.7115576951273
337,1,0.0,385.92069884476246
338,2,0.0,752.6753533825425
339,3,0.0,1350.5142811563178
340,4,0.0,216.6383018481914
341,5,0.0,225.3053587023332
342,6,0.0,90.99414666653196
343,7,126.92,204.7743665096973
344,8,211.61,347.02279031467145
345,9,169.61,442.30313730664426
346,10,321.1,481.2826789252416
347,11,655.39,525.5304672187744
348,12,968.82,305.02320956273286
349,13,978.57,1203.4700773452334
350,14,769.13,751.9102734807575
351,15,758.64,826.6182365467326
352,16,544.59,683.5648312126095
353,17,171.73,400.0593270525146
354,18,0.0,66.63295581046852
355,19,0.0,0.0
356,20,0.0,306.8318661605749
357,21,0.0,1208.2329814943248
358,22,0.0,1419.6210951475643
359,23,0.0,1340.960111433763
360,0,0.0,1846.5245340749905
361,1,0.0,1887.3320185376203
362,2,0.0,1524.2888765648393
363,3,0.0,1260.5557380246296
364,4,0.0,437.09280977188246
365,5,0.0,0.0
366,6,0.0,0.0
367,7,110.33,0.0
368,8,442.25,0.0
369,9,741.36,56.51100639213193
370,10,955.54,690.7120506919582
